iter	Logloss
0	0.6473841726
1	0.6092174671
2	0.573527395
3	0.5417325997
4	0.5190404256
5	0.49011692
6	0.4678439859
7	0.4459957547
8	0.4267479696
9	0.4124049434
10	0.3998266149
11	0.378380693
12	0.3647582443
13	0.353534463
14	0.3441287382
15	0.3323135376
16	0.3201873685
17	0.3111866845
18	0.3005031539
19	0.2931553405
20	0.2865091253
21	0.278800564
22	0.2726794584
23	0.2677404851
24	0.2603204986
25	0.2542864482
26	0.2491389381
27	0.2421935282
28	0.2380791181
29	0.2332663124
30	0.2277716648
31	0.2243169855
32	0.2201762258
33	0.2168627609
34	0.2143672661
35	0.2100705276
36	0.2072901549
37	0.2051944968
38	0.2032141509
39	0.2021654859
40	0.1997555391
41	0.1970464683
42	0.1939894358
43	0.1913758502
44	0.1886231693
45	0.1873324123
46	0.1845479188
47	0.1823183695
48	0.1793241736
49	0.1773173485
50	0.1745748284
51	0.1715474423
52	0.168928688
53	0.1675030744
54	0.1650018103
55	0.1620099338
56	0.1606267882
57	0.158712081
58	0.1562293488
59	0.1556159125
60	0.1539868955
61	0.1526974337
62	0.1514250908
63	0.1498045274
64	0.1469299882
65	0.1448999805
66	0.1430721989
67	0.1410280157
68	0.138334392
69	0.1366236769
70	0.1344950287
71	0.1339305477
72	0.1317278426
73	0.1297843132
74	0.1279260965
75	0.1262123909
76	0.1249694
77	0.1230109886
78	0.1220891152
79	0.1207125275
80	0.119457916
81	0.1174903446
82	0.1155285188
83	0.1149956739
84	0.1134660509
85	0.1127545157
86	0.1117627179
87	0.1109256156
88	0.109030806
89	0.1072407475
90	0.1058915221
91	0.1045597924
92	0.102634948
93	0.1015702589
94	0.1009675956
95	0.09954055739
96	0.09863128191
97	0.09808161229
98	0.09705945003
99	0.0956451157
100	0.09503302162
101	0.09396425294
102	0.09259306943
103	0.09213852588
104	0.09065692807
105	0.09040526402
106	0.0900491373
107	0.08849482477
108	0.08641119945
109	0.08531396183
110	0.08483511136
111	0.08381206018
112	0.08279032766
113	0.0820836079
114	0.08116484866
115	0.08041560797
116	0.07994943784
117	0.07968790737
118	0.07899051242
119	0.07840149491
120	0.07772752974
121	0.07695006147
122	0.07616771886
123	0.07549470148
124	0.07478862339
125	0.07409065152
126	0.07321511963
127	0.07232096166
128	0.07117174879
129	0.07070730939
130	0.07059031946
131	0.06992046921
132	0.06892393842
133	0.06882970127
134	0.06791111864
135	0.06685898628
136	0.06646684953
137	0.06551307513
138	0.06524586972
139	0.06515115573
140	0.06494527982
141	0.06406510906
142	0.06378521154
143	0.06325220179
144	0.06273516902
145	0.06207442578
146	0.06154117466
147	0.06072334596
148	0.06062074355
149	0.05997018461
150	0.05963140653
151	0.05958313412
152	0.05888601586
153	0.05878323685
154	0.05869139565
155	0.05867009104
156	0.05845138762
157	0.05777625096
158	0.05775454015
159	0.05752451626
160	0.0570697078
161	0.05699256614
162	0.05634607503
163	0.05567100902
164	0.05471906544
165	0.05429771211
166	0.05373565062
167	0.05364629369
168	0.05346054501
169	0.05272022294
170	0.05265159371
171	0.05257638295
172	0.05245919286
173	0.05229979386
174	0.05147395899
175	0.05104461717
176	0.05098059737
177	0.05093227787
178	0.05014540237
179	0.04966960719
180	0.04933428176
181	0.04927316713
182	0.04885430984
183	0.04881095886
184	0.0483712061
185	0.04780066455
186	0.04759790868
187	0.04721486716
188	0.04681865669
189	0.04677551175
190	0.04629793285
191	0.04554411217
192	0.04517085464
193	0.04465292707
194	0.04430641363
195	0.04393501046
196	0.04371247468
197	0.04366089974
198	0.04358215685
199	0.04340634523
